t,y,avg
0.0000000000,34.2549125576,34.2549125576
1.0000000000,33.6022351911,34.1896448210
2.0000000000,33.6022351911,34.1243770843
3.0000000000,33.6022351911,34.0591093477
4.0000000000,33.6022351911,33.9938416110
5.0000000000,34.2549125576,33.9938416110
6.0000000000,33.5106776018,33.9194181154
7.0000000000,33.4195320062,33.8358800603
8.0000000000,33.5106776018,33.7614565647
9.0000000000,34.2549125576,33.7614565647
10.0000000000,34.2549125576,33.7614565647
11.0000000000,33.8794080457,33.7891738502
12.0000000000,33.9726418628,33.8262145174
13.0000000000,34.7341069185,33.9394016901
14.0000000000,34.3498690598,34.0141650770
15.0000000000,34.3498690598,34.0236607272
16.0000000000,34.3498690598,34.1075798730
17.0000000000,34.0663019295,34.1722568653
18.0000000000,34.3498690598,34.2561760111
19.0000000000,34.8312847551,34.3138132309
20.0000000000,34.9289162050,34.3812135956
21.0000000000,33.8794080457,34.3812135956
22.0000000000,35.3240422582,34.5163536351
23.0000000000,36.5554030512,34.6984832484
24.0000000000,36.5554030512,34.9190366475
25.0000000000,36.6612584921,35.1501755908
26.0000000000,36.5554030512,35.3707289899
27.0000000000,36.3452245990,35.5986212568
28.0000000000,36.4500596556,35.8086403164
29.0000000000,36.7676297209,36.0022748130
30.0000000000,37.3073562534,36.2401188178
31.0000000000,37.1983486530,36.5720128786
32.0000000000,37.4169028802,36.7812989408
33.0000000000,36.9819346952,36.8239521052
34.0000000000,36.9819346952,36.8666052696
35.0000000000,36.8745205166,36.8879314720
36.0000000000,36.9819346952,36.9305846364
37.0000000000,36.9819346952,36.9942556461
38.0000000000,37.1983486530,37.0690845458
39.0000000000,37.4169028802,37.1340118617
40.0000000000,37.5269925412,37.1559754905
41.0000000000,37.7488171979,37.2110223450
42.0000000000,37.7488171979,37.2442137768
43.0000000000,38.0857294579,37.3545932530
44.0000000000,38.1991637590,37.4763161594
45.0000000000,37.6376292843,37.5526270362
46.0000000000,38.6586669353,37.7203002602
47.0000000000,38.4277534045,37.8648821311
48.0000000000,38.6586669353,38.0109139593
49.0000000000,38.8919399699,38.1584176683
50.0000000000,38.7750062601,38.2832190402
51.0000000000,38.8919399699,38.3975313174
52.0000000000,39.0094726315,38.5235968608
53.0000000000,39.0094726315,38.6159711781
54.0000000000,39.4856857863,38.7446233809
55.0000000000,38.8919399699,38.8700544494
56.0000000000,39.1276088586,38.9169486418
57.0000000000,39.1276088586,38.9869341872
58.0000000000,39.1276088586,39.0338283795
59.0000000000,38.8919399699,39.0338283795
60.0000000000,38.8919399699,39.0455217505
61.0000000000,39.6062833717,39.1169560907
62.0000000000,40.8475910682,39.3007679343
63.0000000000,40.5940678159,39.4592274528
64.0000000000,40.8475910682,39.5954179810
65.0000000000,40.3432170189,39.7405456859
66.0000000000,39.8493655278,39.8127213528
67.0000000000,39.7275083162,39.8727112985
68.0000000000,39.9718599660,39.9571364093
69.0000000000,39.9718599660,40.0651284089
70.0000000000,40.7204927230,40.2479836842
71.0000000000,41.1038297112,40.3977383182
72.0000000000,41.1038297112,40.4233621825
73.0000000000,41.7565963294,40.5396150338
74.0000000000,41.3628276053,40.5911386875
75.0000000000,41.1038297112,40.6671999568
76.0000000000,41.3628276053,40.8185461645
77.0000000000,41.7565963294,41.0214549658
78.0000000000,42.4273226826,41.2670012375
79.0000000000,41.4933752367,41.4191527645
80.0000000000,41.8892813612,41.5360316284
81.0000000000,43.1167603054,41.7373246878
82.0000000000,42.9773384006,41.9246755567
83.0000000000,43.5397327585,42.1029891996
84.0000000000,43.3979508823,42.3065015273
